,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q25a,q26a,q25b,q26b,q27a,q28a,q27b,q28b,q39,q40_1_1,q40_2_1,q40_3_1,q40_4_1,q40_5_1,q40_6_1,q40_7_1,q40_8_1,q40_9_1,q40_10_1,qdobbs,q29,q30,q31,q32,q33,q34,q35,q36,pid3,pid7,pid7others,q37,q38,q41,q42_1,q42_2,q42_3,q42_4,q43,q44,q45,q46,q47,q48,q49,q50,q51,q52,q53_1,q53_2,q53_3,q53_4,q53_5,q54,q55,q56,q57,newsint,cablenews,ideo3,ideo5,votereg,votereg2,turnout22post,housevote22,votemethod22,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,hispanic,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,weight,affactionprivate_per,affactionprivate_court,affactionpublic_per,affactionpublic_court,fedelections_per,fedelections_court,gaydiscrim_per,gaydiscrim_court,gerrymandering_per,gerrymandering_court,cleanwater_per,cleanwater_court,commerce_per,commerce_court,copyright_per,copyright_court,algorithm_per,algorithm_court,socialmedia_per,socialmedia_court,studentloans_per,studentloans_court,unions_per,unions_court,native_per,native_court,religion_per,religion_court,case_recall,case_remembered_1,case_remembered_2,case_remembered_3,case_remembered_4,case_remembered_5,case_remembered_6,case_remembered_7,case_remembered_8,case_remembered_9,case_remembered_10,dobbs,contraception_per,contraception_court,sodomy_per,sodomy_court,gaymarriage_per,gaymarriage_court,interracial_per,interracial_court,pid3_recoded,pid7_recoded,leaders_mention,leaders_important,court_reputation,leaders_criticize,justices_interpret,justices_education,justices_agree,justices_sameparty,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,approval,diffuse2,diffuse3,diffuse1,diffuse4,diffuse5,ideology_personal,ideology_court,courtexpand,courttermlimits,polinterest,ideology3,ideology5,ideal,ideal_sotomayor,ideal_kagan,ideal_jackson,ideal_roberts,ideal_kavanaugh,ideal_barrett,ideal_gorsuch,ideal_alito,ideal_thomas,ideal_courtmajority,affactionprivate_scotus,affactionpublic_scotus,fedelections_scotus,gaydiscrim_scotus,gerrymandering_scotus,cleanwater_scotus,commerce_scotus,copyright_scotus,algorithm_scotus,socialmedia_scotus,studentloans_scotus,unions_scotus,native_scotus,religion_scotus,idealg,perception,idealg_sotomayor,idealg_kagan,idealg_jackson,idealg_roberts,idealg_kavanaugh,idealg_barrett,idealg_gorsuch,idealg_alito,idealg_thomas,idealg_courtmajority
1259,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,1,1,.,3,1,I'm not sure but they should try to uphold laws to benefit all people.,1,2,1,4,3,5,2,2,1,4,2,6,3,3,2,3,3,2,3,50,70,3,3,1,4,1,2,1,1,1,1,3,1,1,2,1949,73,4,2,2,2,2,1,3,2,37,3,1,2,5,2,1,2,2,2,1,2,2,2,1,2,2,6,2,5,11,2,35:40.8,10:16.1,10:15.5,0.737163544,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,1,1,3,1,I'm not sure but they should try to uphold laws to benefit all people.,3,1,2,1,4,1,0,2,1,2,1,4,1,2,1,6,1,5,5,3,3,3,3,2,3,2,50,70,3,3,1,1,2,-0.247736256,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.265620114,-0.281818181,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1260,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,Defilement,Suicide,Abortion,Murder,,,,,,,1,2,1,2,1,1,1,2,2,1,1,.,1,1,Is the change of laws,1,2,1,2,1,2,1,2,2,1,2,4,2,1,2,2,1,1,1,3,82,1,2,2,2,3,4,1,1,1,2,1,1,1,1,1990,32,2,2,2,2,6,4,1,1,36,1,1,1,.,16,3,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,05:27.2,15:08.4,15:07.9,0.763180077,2,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,Defilement,Suicide,Abortion,Murder,,,,,,,1,2,1,2,1,1,1,2,2,1,1,1,1,Is the change of laws,1,1,2,1,2,2,1,1,0,2,1,1,0,2,1,4,0,3,2,2,1,1,1,1,2,2,3,82,1,2,2,3,4,0.290617926,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.210718358,0.02204031,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1261,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,1,1,Roe v. Wage,Love v. Virginia,,,,,,,,,2,2,2,2,2,2,2,2,2,5,3,3,.,.,"Controversial, and chooses when to and when to not grant people of basic human rights in the U.S.",1,2,1,2,.,2,2,2,2,5,2,5,1,4,3,4,3,2,3,0,75,5,2,2,1,1,1,2,2,.,.,.,2,6,2,2004,18,1,2,2,2,1,1,5,2,13,3,2,3,.,8,2,2,2,2,2,1,2,2,1,1,3,2,2,6,2,2,02:08.0,21:04.7,21:01.1,1.013610482,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,1,1,Roe v. Wage,Love v. Virginia,,,,,,,,,2,2,2,2,2,2,2,2,2,3,3,.,.,"Controversial, and chooses when to and when to not grant people of basic human rights in the U.S.",.,1,2,1,2,2,1,2,1,2,1,5,0,2,1,5,0,4,2,1,4,3,3,2,4,3,0,75,5,2,2,1,1,-2.017778544,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.983307761,-0.935766067,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1262,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,1,2,2,3,4,.,.,.,I don?ó?Ç?Öt have no opinion,1,2,1,2,.,2,3,2,3,3,5,7,2,3,3,3,3,3,3,51,50,3,3,7,1,3,4,1,1,1,6,3,2,6,2,1992,30,2,2,2,2,3,2,2,1,51,3,1,2,3,4,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,2,05:47.7,24:22.9,24:08.9,0.774888039,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,1,2,2,3,4,.,.,I don?ó?Ç?Öt have no opinion,.,1,2,1,2,3,0,3,0,2,1,3,0,5,0,7,0,1,2,2,3,3,3,3,3,3,51,50,3,3,7,3,4,0.280447791,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.259959471,0.246518487,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1263,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,2,1,2,1,1,1,.,2,2,Good,4,2,3,2,2,3,2,1,2,2,3,8,3,2,2,2,3,2,3,64,64,3,3,2,1,2,3,2,2,1,.,.,2,6,1,1997,26,1,2,2,2,2,1,5,2,11,3,1,2,3,5,1,2,2,2,2,1,2,2,1,2,1,6,1,1,1,2,19:28.3,26:11.0,26:10.8,0.781922698,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,2,1,2,1,1,1,2,2,Good,2,4,2,3,2,2,1,2,1,1,0,2,0,3,0,8,0,2,3,3,2,3,3,2,2,2,64,64,3,3,2,2,3,0.301523396,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.498454783,0.660101113,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1264,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,2,6,.,4,1,Being strict to uphold the law,1,5,1,5,3,1,1,1,2,4,1,5,5,2,3,2,2,3,2,75,46,3,3,4,5,3,4,1,1,2,.,.,1,2,2,1971,52,3,1,1,2,3,2,1,1,55,2,1,2,6,1,1,2,2,2,1,2,2,2,1,2,1,5,2,6,2,1,08:59.3,27:23.3,27:22.7,0.946925819,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,2,2,2,2,2,6,4,1,Being strict to uphold the law,3,1,5,1,5,2,1,1,0,1,0,4,1,1,0,5,0,2,1,5,2,2,2,3,2,3,75,46,3,3,4,3,4,1.113126055,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.948439888,0.672004737,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1265,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,1,2,2,1,2,.,2,4,To uphold Justice to the people,2,2,2,2,4,2,2,2,1,4,5,4,3,2,2,4,2,2,2,48,51,4,2,2,1,2,3,1,1,1,1,2,2,6,2,1982,40,2,2,2,2,2,1,1,1,48,3,1,2,4,4,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,33:13.1,28:09.9,28:09.7,0.955406427,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,2,2,1,1,1,1,2,2,1,2,2,4,To uphold Justice to the people,4,2,2,2,2,1,0,2,1,2,1,4,1,5,0,4,0,3,2,3,2,2,2,2,4,2,48,51,4,2,2,2,3,0.697332961,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.623037573,0.626790498,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1266,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,Row vs wade,,,,,,,,,,1,2,2,1,1,1,1,1,1,2,6,.,3,2,Biased,4,2,2,3,2,1,3,2,3,5,1,6,2,3,2,2,1,2,3,71,32,4,2,3,5,3,4,1,1,2,.,.,1,2,1,1961,61,3,1,1,2,3,2,1,2,48,3,4,1,6,8,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,19:15.5,36:15.0,36:14.3,1.066845536,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,Row vs wade,,,,,,,,,,1,2,2,1,1,1,1,1,1,2,6,3,2,Biased,2,4,2,2,3,3,0,3,0,2,1,5,0,1,0,6,1,2,1,2,3,1,3,2,2,2,71,32,4,2,3,3,4,-0.322171831,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.263290627,0.324903211,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1267,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,1,1,1,1,5,8,8,.,.,They r the ones who decided laws,1,1,1,1,.,1,1,2,2,4,5,9,5,1,1,1,1,1,1,45,46,1,1,4,5,4,6,1,1,2,.,.,2,6,1,1992,30,2,2,2,2,2,1,5,2,38,2,1,2,4,1,1,2,2,2,2,1,2,2,1,2,1,6,2,2,11,1,30:58.5,37:35.6,37:35.1,1.232368231,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,1,1,1,1,3,8,.,.,They r the ones who decided laws,.,1,1,1,1,2,1,1,0,2,1,4,1,5,0,9,0,3,1,5,1,1,1,1,1,1,45,46,1,1,4,4,6,0.875636396,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.942050736,0.323093557,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1268,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,1,1,1,1,3,4,.,.,.,The right Justice,1,1,1,1,.,2,1,1,1,4,2,6,1,1,1,1,1,2,1,66,64,1,1,1,3,1,1,2,2,2,.,.,2,6,1,1997,25,1,2,2,2,1,1,5,2,12,3,4,2,.,97,4,2,2,2,2,1,2,1,2,2,4,2,1,1,2,2,46:55.3,38:24.0,38:23.5,0.859490037,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,1,1,1,1,1,1,1,1,1,3,4,.,.,The right Justice,.,1,1,1,1,1,0,1,0,1,0,4,1,2,1,6,1,3,2,1,1,1,1,2,1,1,66,64,1,1,1,1,1,-1.853996787,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.968006408,-1.89682073,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1269,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,1,roe v wade,,,,,,,,,,1,2,2,2,2,2,2,2,2,3,5,.,.,.,"wise, fair",2,3,2,5,.,2,2,2,2,4,2,7,4,2,4,4,4,3,2,71,52,4,4,3,5,3,4,1,1,1,2,2,1,2,2,1965,58,3,1,1,2,5,3,1,2,1,3,2,1,7,97,4,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,17:09.8,38:26.4,38:22.3,1.814545274,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,1,roe v wade,,,,,,,,,,1,2,2,2,2,2,2,2,2,3,5,.,.,"wise, fair",.,2,3,2,5,2,1,2,1,2,1,4,1,2,1,7,0,5,2,4,2,4,2,3,4,4,71,52,4,4,3,3,4,0.770181717,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.635747516,0.407412836,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1270,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,1,1,Murder,Abortion,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,.,1,1,The change of the laws,1,3,1,2,2,2,1,2,1,2,1,4,1,1,1,2,1,2,1,62,45,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1990,32,2,2,2,2,6,4,1,1,36,1,1,1,1,16,3,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,21:47.2,38:32.2,38:28.3,0.763180077,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,Murder,Abortion,,,,,,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,The change of the laws,2,1,3,1,2,1,0,1,0,2,1,2,0,1,0,4,0,1,2,1,1,1,1,2,2,1,62,45,1,2,1,1,2,-1.820174762,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-1.912043075,-0.937311287,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1271,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,1,bROWN VS bOARD OF EDUCATION,LOVING VS VIRGINIA,ROE V WADE,,,,,,,,2,2,2,2,2,2,2,2,2,3,4,.,.,.,Depending on who is in power or who holds most seats that's who gets to make the rules and interpret the law in a way that serves them.,1,3,1,3,.,1,2,1,2,4,2,5,1,2,3,4,3,1,3,40,80,4,1,1,5,2,3,1,1,1,1,3,1,1,2,1990,32,2,3,3,1,4,2,1,2,6,4,1,2,.,7,2,2,2,2,2,1,2,2,1,2,3,6,2,6,11,2,27:05.0,40:22.1,40:19.1,0.524743855,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,bROWN VS bOARD OF EDUCATION,LOVING VS VIRGINIA,ROE V WADE,,,,,,,,2,2,2,2,2,2,2,2,2,3,4,.,.,Depending on who is in power or who holds most seats that's who gets to make the rules and interpret the law in a way that serves them.,.,1,3,1,3,2,1,2,1,1,0,4,1,2,1,5,0,4,1,1,2,3,3,1,4,3,40,80,4,1,1,2,3,-0.388689436,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,-0.330935832,-0.316811308,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1272,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,Roe vs Wade,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,7,.,2,2,Conservative and fair,1,1,1,2,4,2,2,2,2,4,2,6,2,1,4,5,5,4,2,97,67,5,3,1,2,3,5,1,1,1,2,2,1,2,2,1961,61,3,1,1,2,4,2,6,2,12,3,2,1,2,10,3,2,2,2,2,1,2,2,1,2,2,6,2,3,1,1,26:57.8,42:54.9,42:54.3,1.13828969,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,Roe vs Wade,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,7,2,2,Conservative and fair,4,1,1,1,2,2,1,2,1,2,1,4,1,2,1,6,1,6,2,2,1,5,2,4,5,4,97,67,5,3,1,3,5,1.520487331,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1.517751854,1.516158231,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1273,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,1,1,1,1,1,1,5,4,4,.,.,Good,1,3,1,3,.,1,2,2,2,2,3,5,5,5,2,3,3,2,5,43,43,5,3,2,5,4,6,2,2,2,.,.,2,6,1,1966,56,3,1,1,2,3,2,1,2,53,4,2,2,5,3,1,2,2,2,2,1,2,2,1,2,4,6,2,7,12,1,35:51.1,49:24.6,49:19.1,0.965753615,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,1,1,1,1,1,1,3,4,.,.,Good,.,1,3,1,3,2,1,2,1,2,1,2,0,3,0,5,0,3,1,5,5,3,5,2,3,2,43,43,5,3,2,4,6,0.618768596,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.5525484,0.537232975,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1274,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,1,1,2,2,3,4,.,.,.,They are all corrupt,3,3,3,3,.,5,2,2,2,4,2,4,1,4,3,1,1,1,3,50,10,5,1,1,5,2,3,1,1,2,.,.,2,6,2,1968,55,3,1,1,2,3,2,1,2,16,4,4,1,5,3,1,2,2,2,1,2,2,2,1,1,4,6,2,7,11,1,32:30.7,50:32.7,50:28.3,0.655981779,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,1,1,2,2,3,4,.,.,They are all corrupt,.,3,3,3,3,2,1,2,1,2,1,4,1,2,1,4,0,5,5,1,4,1,3,1,1,3,50,10,5,1,1,2,3,0.536413186,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.544648544,0.536520319,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
1275,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,1,2,2,2,1,1,.,4,2,NO ANSWER.,1,3,1,5,4,2,2,2,2,1,1,4,3,3,3,2,3,3,3,54,83,4,2,3,5,2,3,1,1,1,1,2,1,1,2,1954,68,4,2,2,2,3,2,3,1,28,3,4,3,5,2,1,2,2,2,1,2,2,2,1,1,1,3,2,1,1,2,34:47.1,50:49.2,50:48.9,0.72919029,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,__NA__,2,2,2,2,2,1,2,2,2,1,1,4,2,NO ANSWER.,4,1,3,1,5,2,1,2,1,2,1,1,0,1,0,4,0,3,2,3,3,3,3,3,2,3,54,83,4,2,3,2,3,0.136325162,-2.264832212,-1.391541714,-1.90720615,0.458629514,0.396524876,0.567392542,1.02302088,1.610674371,1.325471936,0.241280611,1,1,2,1,1,2,2,2,2,2,1,1,2,2,0.157473787,-0.591040116,-2.22635818,-1.361137539,-1.86246528,0.40726229,0.344904031,0.506889043,0.937006137,1.496297585,1.220613575,0.195049165
