id,male,age,education,party,dealdebt,tea
386,1,21,3,3,1,1
387,0,61,4,1,3,0
388,0,83,2,2,3,0
389,0,37,4,3,1,1
390,0,66,2,1,2,0
391,0,57,3,1,3,0
392,1,39,4,1,3,0
393,0,70,3,3,1,1
394,0,49,4,2,3,0
395,0,68,4,2,3,0
396,0,52,3,3,1,1
397,0,65,3,1,1,0
398,1,83,3,3,1,1
399,0,77,1,2,3,0
400,1,91,3,2,1,1
401,0,59,3,1,1,1
402,0,27,3,1,1,0
403,1,73,1,1,1,0
404,1,79,4,1,1,0
405,1,56,4,2,3,0
406,1,49,4,2,2,0
407,0,61,4,2,3,0
408,1,54,3,1,2,0
409,1,74,2,2,3,1
410,0,50,4,3,1,1
411,1,25,4,3,3,0
412,1,62,3,2,2,0
413,1,43,3,1,3,0
414,1,33,3,1,3,0
415,0,22,2,1,1,0
416,1,23,4,3,1,1
417,0,77,2,2,1,1
418,0,40,4,1,3,0
419,0,65,3,3,1,1
420,0,52,4,2,1,0
421,0,49,3,3,1,0
422,1,52,2,1,1,0
423,1,74,2,3,1,1
424,0,56,2,2,1,1
425,1,40,4,2,1,0
426,1,77,3,2,3,0
427,0,31,2,2,3,1
428,1,36,4,1,3,0
429,1,53,3,3,1,1
430,1,47,2,2,1,0
431,1,61,2,2,3,1
432,1,39,4,2,3,0
433,0,54,3,1,2,0
434,1,47,3,3,1,1
435,1,30,3,1,1,0
436,0,59,2,3,1,1
437,1,53,3,2,1,0
438,0,73,3,3,1,0
439,0,36,4,2,3,0
440,1,55,2,1,3,0
441,1,56,2,1,2,1
442,0,36,4,3,1,1
443,0,41,4,3,1,0
444,0,64,4,1,3,1
445,1,66,3,1,3,0
446,1,44,4,1,1,0
447,1,58,4,2,1,1
448,0,44,4,2,1,0
449,0,47,3,3,1,0
450,1,63,2,1,1,0
451,1,61,2,1,3,0
452,1,29,2,2,2,1
453,0,69,4,3,3,0
454,0,52,3,2,1,0
455,1,49,4,2,3,0
456,0,61,4,2,3,0
457,0,61,3,2,3,0
458,0,43,4,2,3,0
459,1,52,2,3,1,0
460,1,53,4,1,3,0
461,1,28,3,1,3,0
462,0,62,4,2,1,1
463,1,43,4,2,1,0
464,1,21,3,1,3,1
465,1,49,1,1,3,0
466,0,72,2,3,1,0
467,0,30,4,1,1,0
468,0,52,3,3,1,1
469,0,40,3,3,1,0
470,0,63,4,2,1,1
471,0,49,4,1,1,0
472,1,46,4,2,3,0
473,1,32,1,1,3,1
474,0,69,3,1,1,0
475,0,50,2,2,3,1
476,0,53,2,2,1,0
477,1,44,2,1,1,0
478,1,48,4,2,3,0
479,0,49,4,2,1,0
480,0,52,2,1,3,0
481,1,49,4,3,3,1
482,1,53,2,3,1,1
483,0,78,3,1,1,0
484,0,64,2,2,1,1
485,1,55,4,1,3,0
486,0,31,2,1,1,0
487,0,58,2,1,1,0
488,1,50,2,2,3,1
489,1,52,4,3,3,0
490,0,56,4,2,1,1
491,1,38,2,3,1,1
492,0,57,2,2,1,0
493,0,56,3,2,1,1
