Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q38,Q25,Q26,Q27,Q28,Q29,Q39,Q40,Q37,Q30,Q31,Q32,Q33,Q34,Q35,Q36,newsint,ideo3,ideo5,votereg,votereg2,presvote16x,pid3,pid7,gender,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,employ,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,caseid,rand_ab,starttime,endtime,lastmodified,weight
.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,5,2,2,2,4,1,4,4,1,5,2,4,4,5,52.0,55.0,2,2,3,1,1,2,3,4,1,74.0,4,1,1,5,3,1,2,48,3,2,5,6,2,.,.,1,.,.,.,.,1,4,6,2,2,2,1131848641.0,2,2020-04-29T02:10:38.097,2020-04-29T02:20:24.845,2020-04-29T02:20:24.167,1.35195382278654
1,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,3,2,3,2,1,2,6,3,2,1,2,3,3,3,92.0,75.0,4,2,3,1,1,1,1,2,2,42.0,2,3,3,5,3,1,1,36,1,2,2,7,2,1,2,2,1,2,2,1,2,1,3,1,2,4,1131848743.0,1,2020-04-29T02:11:46.648,2020-04-29T02:20:27.876,2020-04-29T02:20:20.909,0.825162467515039
.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,4,3,2,2,4,1,5,1,2,5,2,3,3,3,70.0,55.0,2,3,4,1,1,2,2,7,1,78.0,4,1,1,5,3,1,2,53,4,4,5,9,2,.,.,1,.,.,.,.,1,1,1,1,1,1,1131701855.0,2,2020-04-29T02:06:42.554,2020-04-29T02:20:38.900,2020-04-29T02:20:30.226,1.35195382278654
.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,5,2,2,2,4,1,5,3,2,4,2,2,4,4,13.0,41.0,1,1,1,1,1,3,1,1,2,64.0,3,1,1,4,2,4,2,41,4,4,5,4,1,.,.,.,1,.,.,.,1,1,5,1,3,12,1131836553.0,2,2020-04-29T02:04:00.614,2020-04-29T02:20:47.700,2020-04-29T02:20:46.883,0.346048559030705
1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,1,5,1,4,1,4,1,1,5,15.0,85.0,1,1,2,1,1,1,1,1,2,57.0,3,1,1,3,2,1,2,48,3,2,7,9,2,.,.,.,.,1,.,.,1,4,6,2,3,9,1131843585.0,1,2020-04-29T02:08:27.062,2020-04-29T02:21:42.031,2020-04-29T02:21:36.063,0.642202224629617
2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,3,2,1,2,1,6,7,3,3,2,2,3,3,3,73.0,86.0,3,2,3,2,2,4,3,4,2,29.0,1,1,1,6,4,5,2,17,2,2,2,3,1,.,.,.,.,1,.,.,1,2,3,2,2,2,1131849487.0,1,2020-04-29T02:16:33.995,2020-04-29T02:21:46.536,2020-04-29T02:21:45.859,0.583251352838378
1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,5,2,2,2,4,1,5,1,4,5,4,1,5,5,50.0,77.0,1,2,3,1,1,1,3,3,1,64.0,3,1,1,3,2,1,2,37,3,4,5,6,2,.,.,1,.,.,.,.,1,2,2,2,4,12,1131580589.0,1,2020-04-29T02:05:46.930,2020-04-29T02:21:49.618,2020-04-29T02:21:48.909,0.719110893694081
.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,3,2,2,2,1,1,7,4,3,4,2,3,4,3,68.0,80.0,2,2,3,1,1,2,2,6,2,57.0,3,1,1,5,3,3,2,21,3,3,3,3,1,2,2,2,2,1,2,2,1,1,5,1,3,1,1131836311.0,2,2020-04-29T02:01:47.876,2020-04-29T02:22:02.802,2020-04-29T02:22:02.127,1.60724946013086
.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,5,2,2,2,4,1,5,3,2,4,3,2,4,3,85.0,70.0,1,3,5,1,1,2,2,7,2,63.0,3,1,1,3,2,1,2,48,3,2,1,12,3,.,.,.,1,.,.,.,1,1,3,1,1,1,1131836841.0,2,2020-04-29T02:07:21.944,2020-04-29T02:22:17.824,2020-04-29T02:22:12.300,0.763130007269011
.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,1,2,2,3,2,1,4,1,3,3,3,3,3,3,50.0,52.0,2,4,6,1,1,4,2,6,2,48.0,3,1,1,3,2,1,2,13,3,4,1,7,2,2,2,2,2,1,2,2,1,3,6,2,6,12,1131847231.0,2,2020-04-29T02:09:08.303,2020-04-29T02:23:18.780,2020-04-29T02:23:13.634,1.37875714337053
