,q1a,q2a,q1b,q2b,q3a,q4a,q3b,q4b,q5a,q6a,q5b,q6b,q7a,q8a,q7b,q8b,q9a,q10a,q9b,q10b,q11a,q12a,q11b,q12b,q13a,q14a,q13b,q14b,q15a,q16a,q15b,q16b,q17a,q18a,q17b,q18b,q19a,q20a,q19b,q20b,q21a,q22a,q21b,q22b,q23a,q24a,q23b,q24b,q41a,q42a,q41b,q42b,q43a,q44a,q43b,q44b,q38,q25,q26,q27,q28,q29,q39,q40,q30,q31,q32,q33,q34,q35,q36,q45,q46,newsint,cablenews,ideo3,ideo5,votereg,votereg2,pid3,pid7,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bor.gain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,caseid,weight,gayadoption_per,gayadoption_court,acatax_per,acatax_court,acasev_per,acasev_court,azprovballot_per,azprovballot_court,azcollectballot_per,azcollectballot_court,donors_per,donors_court,schoolspeech_per,schoolspeech_court,juvcrime_per,juvcrime_court,databases_per,databases_court,ncaa_per,ncaa_court,covidchurch_per,covidchurch_court,unions_per,unions_court,agencies_per,agencies_court,warrants_per,warrants_court,justice_selection,justice_selection_correct,justice_term,justice_term_correct,last_say,last_say_correct,current_chief,current_chief_correct,most_recent,most_recent_correct,gop_appt,gop_appt_correct,total_correct,typical_votes,partisan_effect,diffuse2,diffuse3,diffuse1,diffuse4,diffuse5,ideology_perso.l,ideology_court,courtexpand,courttermlimits,polinterest,ideology3,ideology5,pid3_recoded,ideal,ideal_sotomayor,ideal_kagan,ideal_breyer,ideal_roberts,ideal_kava.ugh,ideal_barrett,ideal_gorsuch,ideal_alito,ideal_thomas,ideal_courtmajority,gayadoption_scotus,acatax_scotus,acasev_scotus,azprovballot_scotus,azcollectballot_scotus,donors_scotus,schoolspeech_scotus,juvcrime_scotus,databases_scotus,ncaa_scotus,covidchurch_scotus,unions_scotus,agencies_scotus,warrants_scotus,idealg,perception,idealg_sotomayor,idealg_kagan,idealg_breyer,idealg_roberts,idealg_kava.ugh,idealg_barrett,idealg_gorsuch,idealg_alito,idealg_thomas,idealg_courtmajority
218,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,5,5,4,5,4,2,5,4,100,57,5,5,1,5,3,5,1,1,3,5,1,2,2,1961,59,3,1,1,5,3,1,2,41,4,4,3,3,3,1,.,.,.,.,1,.,.,1,2,1,1,1,1,12,1,43:08.8,22:53.6,22:51.4,1415320183,0.641731858,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,4,1,5,1,5,0,5,5,4,4,2,5,5,4,100,57,5,5,1,3,5,3,0.92113324,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.995033522,0.317108844,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
219,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,4,2,2,2,4,5,5,3,5,1,3,5,4,72,63,5,3,1,2,2,3,1,1,3,5,1,2,1,1943,77,4,1,1,3,2,1,2,36,1,2,1,5,7,2,.,.,.,1,.,.,.,1,2,2,4,2,2,2,2,52:15.1,23:46.8,23:40.3,1415084363,0.642009735,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,1,4,1,5,1,5,0,5,4,3,1,3,5,5,4,72,63,5,3,1,2,3,3,0.413312467,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.490881556,0.615310736,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
220,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,4,2,2,2,4,5,6,1,4,4,1,4,4,26,88,1,1,1,3,1,2,1,1,1,1,1,1,1,1943,77,4,1,1,3,2,3,2,51,3,1,1,5,6,2,2,2,1,2,2,2,2,1,2,4,5,2,7,10,2,05:49.3,24:26.0,24:15.7,1415663675,0.674079359,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,4,1,5,1,6,0,5,4,1,4,1,4,4,4,26,88,1,1,1,1,2,1,-1.82081445,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-1.719014585,1.844253446,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
221,2,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,4,2,2,2,4,5,6,1,4,4,2,4,4,5,100,1,1,1,5,1,1,1,1,1,1,1,1,2,1947,73,4,1,1,5,3,3,2,12,3,2,1,5,2,1,.,.,.,1,.,.,.,1,2,4,6,2,7,9,1,59:50.7,24:50.9,24:40.2,1415740811,0.742836297,2,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,4,1,5,1,6,0,5,4,1,4,2,4,4,4,5,100,1,1,1,1,1,1,-1.011771927,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-1.030318424,1.070398979,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
222,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,5,2,1,2,4,5,3,3,1,3,2,1,2,89,85,2,1,1,3,2,3,1,1,1,1,1,1,2,1949,71,4,1,1,1,1,1,2,6,4,1,1,5,2,1,2,2,2,1,2,.,.,1,2,3,6,2,5,10,2,08:23.4,24:52.5,24:51.4,1415743541,0.903479993,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,1,1,2,1,1,0,2,1,4,1,5,1,3,0,4,5,3,3,2,1,1,2,89,85,2,1,1,2,3,1,-0.93766665,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.95729211,-0.732312283,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
223,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,4,2,2,2,5,5,6,2,4,2,1,3,4,57,76,4,4,3,5,2,3,2,2,3,4,2,6,2,1951,69,4,1,1,3,2,3,2,53,4,4,3,5,2,1,.,.,.,1,.,.,1,.,2,4,6,2,7,11,1,03:53.6,25:10.5,25:04.4,1415742287,0.984943271,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,1,5,0,5,1,6,0,4,4,2,2,1,4,3,4,57,76,4,4,3,2,3,3,0.072683872,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.148957876,0.142510975,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
224,1,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,5,2,2,2,4,5,5,1,3,3,2,2,4,14,81,3,2,1,5,1,1,1,1,3,3,1,1,2,1980,41,2,1,1,5,3,5,2,42,1,1,2,4,5,1,2,2,2,2,1,2,2,1,2,2,6,2,4,12,1,03:52.2,25:30.8,25:24.8,1415742275,0.952864349,1,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,4,1,5,1,5,0,5,5,1,3,2,3,2,4,14,81,3,2,1,1,1,3,-1.406082934,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-1.457547634,0.808286542,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
225,2,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,5,2,2,2,4,5,5,4,5,1,3,5,4,77,52,5,2,1,5,3,4,1,1,2,6,1,2,2,1951,70,4,1,1,3,2,1,2,20,2,4,1,5,5,1,.,.,1,1,.,.,.,1,2,3,6,2,6,11,1,07:04.0,25:33.6,25:32.8,1414979323,1.36758101,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,4,1,5,1,5,0,5,5,4,1,3,5,5,4,77,52,5,2,1,3,4,2,1.813362929,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.862458242,-0.686059646,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
226,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,5,2,2,2,4,5,5,3,5,2,3,5,4,61,48,5,3,1,5,3,4,1,1,3,5,1,2,2,1957,63,3,1,1,5,3,4,2,29,2,4,1,5,2,1,.,.,.,1,.,.,.,1,2,1,2,2,1,11,2,06:44.6,25:43.9,25:38.5,1415742689,0.936258495,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,1,4,1,5,1,5,0,5,5,3,2,3,5,5,4,61,48,5,3,1,3,4,3,1.207004506,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.246060997,0.196349697,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
227,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,4,2,2,3,4,5,5,1,4,3,4,5,5,100,55,5,5,1,2,3,5,1,1,2,7,1,2,2,1952,68,4,1,1,3,2,3,2,39,2,1,2,5,2,1,.,.,.,1,.,.,.,1,2,1,3,2,1,1,1,10:19.8,25:48.5,25:45.0,1414926341,1.36758101,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,2,1,3,0,4,1,5,1,5,0,4,4,1,3,4,4,5,5,100,55,5,5,1,3,5,2,-0.316917319,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.348431088,-0.62123335,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
228,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,5,2,2,2,4,5,5,1,4,4,3,2,3,22,81,2,1,1,1,1,2,1,1,3,4,1,4,1,1944,76,4,1,1,3,2,3,2,6,4,3,2,5,97,4,2,2,1,2,2,.,.,1,2,4,6,2,7,9,1,08:19.1,26:13.8,26:12.8,1415743483,0.459646642,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,4,1,5,1,5,0,5,5,1,4,3,4,2,3,22,81,2,1,1,1,2,3,-0.735391824,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.770107776,-0.658460287,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
229,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,4,2,2,2,4,5,6,3,4,2,4,4,4,58,66,4,2,1,4,2,3,1,1,2,6,1,1,1,1945,75,4,1,1,6,4,1,2,44,1,4,2,5,7,2,.,.,1,.,.,.,.,1,1,1,2,1,2,1,1,03:18.8,26:23.3,26:18.0,1414979189,0.809868276,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,4,1,5,1,6,0,5,4,3,2,4,4,4,4,58,66,4,2,1,2,3,2,-0.174741465,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.149576618,-0.051635577,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
230,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,4,2,2,2,4,5,7,2,5,2,3,5,4,61,59,2,2,2,2,2,3,1,1,2,6,1,2,2,1955,65,4,1,1,3,2,1,2,29,2,2,1,2,6,2,.,.,.,1,.,2,2,1,2,1,5,2,1,1,1,09:35.2,28:14.7,28:09.5,1415108117,1.36758101,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,1,4,1,5,1,7,0,5,4,2,2,3,5,5,4,61,59,2,2,2,2,3,2,-0.21834135,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.222969548,0.458474096,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
231,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,5,2,2,2,4,5,6,3,5,2,2,4,4,82,82,5,5,1,2,3,4,1,1,2,7,1,2,1,1949,72,4,1,1,3,2,1,2,29,2,4,1,5,5,1,.,.,1,.,.,1,.,.,2,2,5,1,3,1,2,47:50.3,28:45.7,28:38.2,1414843691,0.89783448,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,1,4,1,5,1,6,0,5,5,3,2,2,5,4,4,82,82,5,5,1,3,4,2,1.052857169,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.005221707,-0.342649178,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
232,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,5,2,2,2,4,5,4,4,4,2,3,4,4,52,66,2,2,1,1,2,3,1,1,1,1,1,1,2,1963,57,3,1,1,5,3,1,2,10,3,3,1,7,14,3,2,2,2,1,2,2,2,1,2,1,2,2,1,2,1,59:12.3,29:19.3,29:18.9,1415740729,0.650808096,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,2,1,4,1,5,1,4,1,6,5,4,2,3,4,4,4,52,66,2,2,1,2,3,1,-1.225618619,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-1.21202286,-1.385239578,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
233,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,4,2,2,2,4,5,6,1,5,5,2,4,2,12,67,1,1,1,1,1,2,1,1,1,2,1,1,1,1936,84,4,1,1,6,4,1,2,12,3,2,1,5,97,4,.,.,.,1,.,.,.,1,1,4,5,2,7,5,1,09:49.8,30:15.3,29:57.2,1415744157,0.674016535,1,1,2,2,2,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,1,4,1,5,1,6,0,5,4,1,5,2,5,4,2,12,67,1,1,1,1,2,1,-1.836174591,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-1.710607514,-0.042195793,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
234,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,5,2,3,2,4,5,7,2,4,3,3,3,3,76,29,3,2,2,5,3,4,1,1,2,6,1,2,2,1973,47,3,1,1,3,2,1,1,29,2,1,2,1,6,2,2,2,2,2,1,2,2,1,2,1,1,1,3,12,1,06:03.6,31:01.5,31:00.8,1414844905,1.198154688,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,1,3,0,2,1,4,1,5,1,7,0,4,5,2,3,3,4,3,3,76,29,3,2,2,3,4,2,0.017453901,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.054156129,-0.327107206,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
235,1,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,5,2,2,2,4,5,5,4,4,3,2,3,4,19,82,3,2,1,3,1,2,1,1,1,1,1,1,1,1941,79,4,1,1,5,3,1,2,16,4,3,1,5,6,2,.,.,1,1,.,.,.,1,2,3,6,2,7,10,1,12:41.6,31:02.8,30:56.0,1415745607,0.676497996,1,2,2,1,2,2,2,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,4,1,5,1,5,0,5,5,4,3,2,4,3,4,19,82,3,2,1,1,2,1,-0.466520588,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.4615693,-0.282680644,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
236,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,4,2,2,2,4,5,6,1,3,4,2,3,3,48,93,1,1,1,3,2,3,1,1,1,1,1,1,1,1952,69,4,1,1,5,3,1,2,39,2,2,1,5,6,2,2,2,2,1,2,2,2,1,2,2,5,2,6,2,2,11:32.5,32:17.4,32:16.7,1415744985,0.675763249,1,1,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,4,1,5,1,6,0,5,4,1,4,2,3,3,3,48,93,1,1,1,2,3,1,-2.060661074,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-2.020517228,-0.91968785,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
237,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,5,2,2,2,4,5,5,2,5,2,2,4,4,69,51,5,5,2,4,3,4,1,1,2,6,1,2,2,1963,58,3,1,1,6,4,1,2,48,3,2,1,2,8,2,2,2,2,2,1,.,.,1,1,1,2,1,2,1,2,20:42.8,32:26.2,32:18.8,1414750243,0.864240706,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,4,1,5,1,5,0,5,5,2,2,2,5,4,4,69,51,5,5,2,3,4,2,0.728973128,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,0.808294305,0.67771366,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
238,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,2,2,4,5,6,5,5,1,5,5,5,88,52,5,5,1,2,3,5,1,1,2,7,1,2,2,1953,67,4,1,1,6,4,4,2,37,3,1,2,1,9,2,2,2,2,1,2,2,2,1,2,1,5,2,1,1,1,22:57.3,32:32.6,32:32.3,1415697361,0.98644954,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,4,1,5,1,6,0,5,2,5,1,5,5,5,5,88,52,5,5,1,3,5,2,1.764645847,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.748722048,1.76387814,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
239,.,.,1,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,1,1,3,2,2,2,4,5,7,1,4,4,1,1,3,48,98,2,1,1,1,2,3,1,1,1,1,1,1,2,1960,60,3,1,1,3,2,1,2,4,4,2,1,1,9,2,.,.,.,1,.,.,.,1,2,2,5,2,3,2,2,16:10.4,32:42.2,32:41.6,1415753373,0.657185435,1,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,4,1,5,1,7,0,5,3,1,4,1,4,1,3,48,98,2,1,1,2,3,1,-0.782559775,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,-0.802903727,2.158726064,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
240,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,2,1,5,2,2,2,4,5,5,2,5,5,5,5,4,50,11,3,3,4,5,2,3,1,1,4,4,1,3,1,1973,47,3,7,4,4,2,1,2,53,4,2,2,3,6,2,2,2,2,2,1,.,.,1,2,4,6,2,7,11,2,19:20.6,32:57.0,32:56.3,1414602797,1.814911008,2,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,4,1,5,1,5,0,5,5,2,5,5,5,5,4,50,11,3,3,4,2,3,3,1.575507458,-2.309779132,-0.904149642,-1.220202739,0.809439639,0.841899886,1.268704531,1.565957745,2.170776998,1.487742608,0.795181088,2,.,.,2,2,1,2,2,2,2,1,2,1,2,1.627737601,-1.575540738,-2.319915372,-0.898972127,-1.229719584,0.756784992,0.781021132,1.182720466,1.479517738,2.06510876,1.406736232,0.732328104
